Round,Date,HomeTeam,AwayTeam,FTHG,FTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
ROUND 34,18.05.2024,Bayer Leverkusen,Augsburg,2,1,2.86,0.77,62,38,19,8,11,6,6,11,5,4,5,0,10,10,1,6,6,7,0,0,0,1,728,382,150,66,84,32,0,0
ROUND 34,18.05.2024,Dortmund,Darmstadt,4,0,2.83,0.42,71,29,21,7,11,6,13,4,7,3,0,2,17,15,1,6,4,10,0,0,0,3,727,258,117,58,66,27,0,0
ROUND 34,18.05.2024,Eintracht Frankfurt,RB Leipzig,2,2,2.02,1.73,46,54,19,9,13,4,12,8,8,3,0,4,22,16,3,4,10,11,0,0,2,2,432,520,107,86,49,28,0,0
ROUND 34,18.05.2024,Heidenheim,FC Koln,4,1,0.92,2.56,50,50,13,19,6,10,19,11,5,12,2,0,27,22,8,3,9,20,0,0,1,3,370,419,87,76,49,65,0,0
ROUND 34,18.05.2024,Hoffenheim,Bayern Munich,4,2,2.21,1.59,48,52,17,12,8,8,11,8,6,5,1,3,14,11,2,5,7,9,0,0,3,1,469,509,115,82,53,35,0,0
ROUND 34,18.05.2024,Stuttgart,B. Monchengladbach,4,0,1.84,1.45,58,42,21,13,10,8,10,6,8,4,0,1,10,14,5,7,4,9,0,0,1,2,716,475,118,75,46,30,0,0
ROUND 34,18.05.2024,Union Berlin,Freiburg,2,1,2.68,1.04,43,57,14,11,9,6,8,14,3,7,0,0,25,15,4,3,14,9,0,0,7,4,303,517,71,104,48,43,0,0
ROUND 34,18.05.2024,Werder Bremen,Bochum,4,1,3.87,1.98,48,52,25,26,13,18,12,12,8,8,0,0,15,19,7,8,12,12,0,0,1,1,355,392,74,141,48,51,0,0
ROUND 34,18.05.2024,Wolfsburg,Mainz,1,3,1.13,1.65,60,40,12,12,8,6,15,14,1,3,1,3,16,25,3,3,13,15,0,0,2,3,461,257,102,108,38,34,0,0
ROUND 33,12.05.2024,Bochum,Bayer Leverkusen,0,5,0.16,4.29,34,66,2,28,2,18,12,8,2,6,3,2,12,17,5,0,5,10,1,0,2,1,280,615,76,114,27,73,0,0
ROUND 33,12.05.2024,Bayern Munich,Wolfsburg,2,0,0.35,0.22,58,42,5,5,2,3,8,10,4,0,3,0,12,11,2,1,7,8,0,0,0,2,744,517,128,81,54,34,0,0
ROUND 33,12.05.2024,Darmstadt,Hoffenheim,0,6,0.67,3.22,44,56,9,12,8,5,6,9,2,3,3,3,19,12,1,1,9,3,0,0,3,0,451,661,97,118,24,23,0,0
ROUND 33,11.05.2024,Mainz,Dortmund,3,0,2.47,0.67,35,65,14,10,8,8,13,8,4,2,2,2,13,13,2,3,14,11,0,0,2,2,261,628,89,102,31,59,0,0
ROUND 33,11.05.2024,B. Monchengladbach,Eintracht Frankfurt,1,1,0.44,1.50,45,55,6,16,3,15,12,9,2,8,0,3,17,28,0,2,9,10,0,0,1,0,438,553,85,125,34,62,0,0
ROUND 33,11.05.2024,FC Koln,Union Berlin,3,2,2.89,1.62,63,37,18,14,13,8,16,14,6,8,0,1,23,16,4,2,15,16,0,0,3,2,437,243,110,85,49,33,0,0
ROUND 33,11.05.2024,Freiburg,Heidenheim,1,1,1.94,1.17,52,48,19,9,16,6,11,9,2,4,2,1,13,13,2,2,9,11,0,0,1,1,498,400,108,91,55,28,0,0
ROUND 33,11.05.2024,RB Leipzig,Werder Bremen,1,1,1.93,1.05,47,53,13,10,8,9,10,13,4,3,2,2,19,10,1,4,12,6,0,0,1,0,465,597,112,79,41,33,0,0
ROUND 33,10.05.2024,Augsburg,Stuttgart,0,1,0.71,2.37,27,73,9,19,8,12,12,19,5,5,4,0,13,15,6,1,15,9,0,0,4,2,208,753,80,131,46,60,0,0
ROUND 32,05.05.2024,Heidenheim,Mainz,1,1,1.29,0.93,48,52,16,10,10,6,9,9,6,3,2,2,19,22,3,5,8,8,0,0,2,3,419,511,103,126,54,65,0,0
ROUND 32,05.05.2024,Eintracht Frankfurt,Bayer Leverkusen,1,5,1.22,2.83,53,47,16,10,11,4,6,7,10,5,1,1,10,16,1,4,10,4,0,0,0,0,528,416,100,63,58,32,0,0
ROUND 32,05.05.2024,Union Berlin,Bochum,3,4,1.49,1.59,50,50,12,17,6,12,15,14,6,4,1,0,30,35,1,3,13,16,0,0,0,1,281,298,112,113,42,42,0,0
ROUND 32,04.05.2024,FC Koln,Freiburg,0,0,1.11,0.43,55,45,20,4,13,4,9,11,7,1,0,0,33,16,0,7,10,9,0,0,1,1,459,371,133,90,61,33,0,0
ROUND 32,04.05.2024,Dortmund,Augsburg,5,1,4.27,2.25,58,42,21,20,11,16,11,5,6,9,1,0,8,10,3,5,4,11,0,0,0,1,579,367,81,83,38,60,0,0
ROUND 32,04.05.2024,Stuttgart,Bayern Munich,3,1,1.97,1.56,56,44,24,10,13,7,7,12,3,1,3,0,20,13,2,8,10,8,0,0,1,2,659,424,153,42,54,15,0,0
ROUND 32,04.05.2024,Werder Bremen,B. Monchengladbach,2,2,1.85,1.95,55,45,17,17,11,10,8,7,7,2,2,1,13,10,5,4,6,7,0,0,0,0,627,476,130,96,53,37,0,0
ROUND 32,04.05.2024,Wolfsburg,Darmstadt,3,0,1.94,0.39,53,47,18,6,12,5,13,8,9,2,0,4,24,14,1,3,11,13,0,0,0,3,527,462,83,69,58,40,0,0
ROUND 32,03.05.2024,Hoffenheim,RB Leipzig,1,1,1.66,0.86,55,45,18,8,10,3,12,6,4,4,0,4,17,17,4,7,6,8,0,1,1,3,578,473,136,87,74,29,0,0
ROUND 31,28.04.2024,Darmstadt,Heidenheim,0,1,0.77,2.13,47,53,12,19,8,13,14,16,3,8,1,2,17,32,5,4,14,12,0,0,2,1,365,432,127,98,29,44,0,0
ROUND 31,28.04.2024,Mainz,FC Koln,1,1,2.25,3.03,46,54,16,16,12,10,14,16,6,6,1,1,24,26,5,3,17,13,1,0,4,4,244,381,103,99,54,55,0,0
ROUND 31,28.04.2024,B. Monchengladbach,Union Berlin,0,0,0.97,0.93,52,48,13,14,9,7,12,3,3,4,0,0,28,25,7,4,3,13,0,0,2,2,512,495,91,146,49,52,0,0
ROUND 31,27.04.2024,Bayer Leverkusen,Stuttgart,2,2,1.32,1.76,45,55,14,11,8,7,21,9,5,2,1,2,17,17,2,4,10,19,0,0,4,3,488,510,102,106,68,26,0,0
ROUND 31,27.04.2024,Augsburg,Werder Bremen,0,3,1.12,2.28,56,44,14,16,13,8,10,20,6,4,3,2,19,20,5,1,18,8,0,0,1,2,380,318,119,76,56,45,0,0
ROUND 31,27.04.2024,Bayern Munich,Eintracht Frankfurt,2,1,3.82,0.46,61,39,19,10,10,7,9,12,4,2,1,2,5,2,2,7,11,7,0,0,0,3,673,417,139,98,63,38,0,0
ROUND 31,27.04.2024,Freiburg,Wolfsburg,1,2,1.76,0.61,50,50,16,13,13,8,9,16,3,6,3,3,17,15,3,2,12,7,1,0,4,2,398,383,101,76,51,38,0,0
ROUND 31,27.04.2024,RB Leipzig,Dortmund,4,1,3.19,1.66,39,61,21,12,14,7,9,12,5,8,0,1,14,14,4,3,11,7,0,0,1,2,336,549,84,98,39,52,0,0
ROUND 31,26.04.2024,Bochum,Hoffenheim,3,2,3.92,2.18,47,53,35,12,22,8,14,13,10,4,2,4,21,15,2,10,13,10,0,0,1,1,333,452,113,87,67,35,0,0
ROUND 30,21.04.2024,Freiburg,Mainz,1,1,1.35,1.55,41,59,7,17,4,13,16,18,2,4,1,1,15,21,3,2,17,15,0,0,3,4,333,544,80,125,25,73,0,0
ROUND 30,21.04.2024,Dortmund,Bayer Leverkusen,1,1,0.92,1.01,51,49,9,13,7,8,14,14,2,6,0,4,13,13,4,1,14,11,0,0,4,3,496,526,84,107,40,82,0,0
ROUND 30,21.04.2024,Werder Bremen,Stuttgart,2,1,1.54,2.13,38,62,9,14,7,9,12,11,1,7,0,3,11,19,4,0,11,10,0,0,3,3,304,734,83,141,28,68,0,0
ROUND 30,20.04.2024,Union Berlin,Bayern Munich,1,5,0.83,1.32,40,60,15,18,11,9,6,8,5,3,3,2,19,7,4,3,5,4,0,0,0,0,396,723,56,130,36,79,0,0
ROUND 30,20.04.2024,FC Koln,Darmstadt,0,2,1.05,2.29,60,40,18,12,14,6,12,17,4,3,6,0,23,12,4,4,10,13,0,0,0,1,466,320,133,109,42,33,0,0
ROUND 30,20.04.2024,Heidenheim,RB Leipzig,1,2,1.81,1.75,43,57,9,11,4,7,11,15,2,6,1,4,20,19,2,4,14,7,0,0,3,1,360,596,84,123,27,37,0,0
ROUND 30,20.04.2024,Hoffenheim,B. Monchengladbach,4,3,2.22,1.61,60,40,27,13,18,6,8,4,6,5,1,1,11,12,4,5,6,11,0,0,1,3,626,423,150,57,72,38,0,0
ROUND 30,20.04.2024,Wolfsburg,Bochum,1,0,1.16,1.09,48,52,10,9,5,8,22,15,5,8,3,6,26,22,1,4,11,16,0,0,4,3,329,415,91,122,41,53,0,0
ROUND 30,19.04.2024,Eintracht Frankfurt,Augsburg,3,1,2.58,0.38,59,41,12,6,5,5,18,3,6,5,1,3,23,8,0,4,2,19,0,0,3,3,589,347,112,93,46,43,0,0
ROUND 29,14.04.2024,Bayer Leverkusen,Werder Bremen,5,0,3.29,0.70,54,46,19,7,9,4,4,14,7,0,5,1,8,10,3,5,10,4,0,0,2,1,612,495,114,83,59,31,0,0
ROUND 29,14.04.2024,Darmstadt,Freiburg,0,1,1.25,0.68,53,47,16,9,12,6,13,7,2,2,0,0,22,15,2,4,6,12,0,0,0,1,507,432,124,89,61,35,0,0
ROUND 29,13.04.2024,Stuttgart,Eintracht Frankfurt,3,0,1.15,0.85,55,45,9,10,3,7,15,5,4,5,1,0,14,28,3,3,4,15,0,0,1,3,599,485,75,127,31,38,0,0
ROUND 29,13.04.2024,B. Monchengladbach,Dortmund,1,2,1.67,1.43,45,55,16,12,11,8,14,15,2,4,2,1,14,9,2,4,13,11,0,1,1,4,428,528,89,105,43,31,0,0
ROUND 29,13.04.2024,Bayern Munich,FC Koln,2,0,2.08,0.84,64,36,17,11,10,6,17,6,5,5,3,2,19,17,5,5,3,15,0,0,0,3,668,307,136,69,82,39,0,0
ROUND 29,13.04.2024,Bochum,Heidenheim,1,1,1.58,1.02,62,38,24,10,19,7,22,11,6,2,1,0,23,18,3,4,12,22,0,0,4,1,430,241,114,48,63,40,0,0
ROUND 29,13.04.2024,Mainz,Hoffenheim,4,1,3.01,0.56,50,50,23,5,15,4,14,15,9,3,2,1,15,15,0,4,12,14,0,0,0,2,312,394,82,68,46,27,0,0
ROUND 29,13.04.2024,RB Leipzig,Wolfsburg,3,0,1.55,0.54,50,50,15,10,9,7,8,12,6,4,0,1,18,22,3,3,12,7,0,0,2,4,500,487,116,100,36,37,0,0
ROUND 29,12.04.2024,Augsburg,Union Berlin,2,0,1.64,1.67,49,51,12,17,8,13,14,17,5,4,2,0,21,27,4,2,15,14,0,0,1,1,394,459,86,119,48,76,0,0
ROUND 28,07.04.2024,Wolfsburg,B. Monchengladbach,1,3,0.93,0.97,59,41,13,10,9,4,13,10,4,4,0,2,14,17,3,3,9,12,0,0,2,2,676,427,117,75,52,37,0,0
ROUND 28,07.04.2024,Hoffenheim,Augsburg,3,1,2.16,1.49,53,47,17,14,11,7,16,9,11,6,1,3,11,23,6,3,8,14,0,0,3,1,481,393,100,124,37,49,0,0
ROUND 28,06.04.2024,Dortmund,Stuttgart,0,1,2.29,1.59,53,47,14,10,7,8,10,8,8,3,2,2,19,18,1,7,8,8,0,0,2,4,510,488,108,87,62,40,0,0
ROUND 28,06.04.2024,FC Koln,Bochum,2,1,0.99,0.73,56,44,17,8,11,6,18,14,9,4,0,4,34,23,1,4,16,13,0,0,3,3,322,267,82,81,49,43,0,0
ROUND 28,06.04.2024,Freiburg,RB Leipzig,1,4,1.69,2.68,46,54,15,15,11,9,12,7,8,4,0,1,18,14,2,3,7,12,0,0,3,4,410,496,93,65,50,35,0,0
ROUND 28,06.04.2024,Heidenheim,Bayern Munich,3,2,1.59,2.03,38,62,9,15,5,7,10,9,3,3,0,2,20,26,6,1,9,8,0,0,2,0,316,656,80,130,30,71,0,0
ROUND 28,06.04.2024,Mainz,Darmstadt,4,0,3.64,1.03,57,43,18,14,9,12,11,18,5,1,2,2,16,25,2,5,17,10,0,0,2,3,485,314,94,100,39,28,0,0
ROUND 28,06.04.2024,Union Berlin,Bayer Leverkusen,0,1,0.49,2.99,38,62,8,19,7,11,15,11,7,10,1,1,18,15,7,1,10,14,1,0,3,2,338,659,84,144,39,87,0,0
ROUND 28,05.04.2024,Eintracht Frankfurt,Werder Bremen,1,1,1.86,1.21,61,39,19,10,14,3,17,11,9,0,2,3,25,19,6,4,10,14,1,1,3,2,547,276,130,95,75,19,0,0
ROUND 27,31.03.2024,Bochum,Darmstadt,2,2,2.10,1.40,56,44,20,13,13,10,17,7,6,5,0,3,22,13,1,5,7,15,0,0,2,2,418,311,118,99,56,29,0,0
ROUND 27,31.03.2024,Stuttgart,Heidenheim,3,3,3.25,1.17,69,31,20,6,14,3,8,6,6,7,1,0,13,19,0,3,5,9,0,1,1,0,759,255,155,66,53,36,0,0
ROUND 27,31.03.2024,Augsburg,FC Koln,1,1,2.29,1.02,53,47,24,12,18,10,11,10,12,6,1,1,28,9,1,5,9,13,0,0,0,3,370,297,130,56,82,21,0,0
ROUND 27,30.03.2024,Bayern Munich,Dortmund,0,2,2.26,1.13,59,41,16,11,13,6,9,9,7,4,2,2,17,13,3,3,7,7,0,0,0,0,639,411,138,70,84,41,0,0
ROUND 27,30.03.2024,B. Monchengladbach,Freiburg,0,3,2.36,2.12,52,48,18,13,14,5,6,12,14,1,1,0,24,16,5,4,11,7,0,0,1,0,524,453,95,91,63,24,0,0
ROUND 27,30.03.2024,Bayer Leverkusen,Hoffenheim,2,1,4.08,0.63,63,37,36,6,24,4,8,9,9,2,0,0,20,17,1,10,9,8,0,0,0,1,713,333,162,64,129,25,0,0
ROUND 27,30.03.2024,Eintracht Frankfurt,Union Berlin,0,0,1.63,1.61,62,38,18,10,14,8,17,10,6,2,2,4,30,9,2,4,8,14,0,0,3,1,595,322,155,87,84,34,0,0
ROUND 27,30.03.2024,RB Leipzig,Mainz,0,0,2.94,0.76,63,37,23,8,13,6,14,14,12,2,4,0,18,15,2,10,10,15,0,0,2,5,614,302,140,70,72,15,0,0
ROUND 27,30.03.2024,Werder Bremen,Wolfsburg,0,2,0.55,2.17,50,50,6,15,5,10,16,14,3,6,1,1,19,23,3,1,13,15,1,1,4,4,430,436,90,93,35,44,0,0
ROUND 26,17.03.2024,Dortmund,Eintracht Frankfurt,3,1,2.43,0.79,64,36,16,8,10,2,11,4,8,3,0,3,24,14,5,3,5,9,0,0,1,2,684,339,133,75,71,38,0,0
ROUND 26,17.03.2024,Freiburg,Bayer Leverkusen,2,3,0.81,2.90,35,65,9,18,6,11,6,13,2,8,1,0,14,8,4,1,13,6,0,0,1,0,342,746,89,123,30,64,0,0
ROUND 26,16.03.2024,Hoffenheim,Stuttgart,0,3,0.26,3.43,46,54,8,25,7,13,13,9,5,6,1,1,21,20,9,1,8,12,0,0,1,0,393,514,89,104,38,58,0,0
ROUND 26,16.03.2024,Darmstadt,Bayern Munich,2,5,1.31,4.42,28,72,7,26,4,20,7,10,2,9,1,1,10,25,1,1,9,6,0,0,1,0,230,697,44,161,20,80,0,0
ROUND 26,16.03.2024,Heidenheim,B. Monchengladbach,1,1,2.21,0.56,53,47,16,6,11,4,8,18,10,4,2,0,23,28,1,4,16,8,0,0,1,3,448,420,119,84,52,41,0,0
ROUND 26,16.03.2024,Mainz,Bochum,2,0,2.60,0.72,51,49,13,11,9,7,17,16,7,6,1,2,24,27,4,2,15,15,0,0,4,3,328,335,119,133,47,43,0,0
ROUND 26,16.03.2024,Union Berlin,Werder Bremen,2,1,1.25,1.02,48,52,11,10,5,8,10,11,4,3,0,0,18,12,1,4,16,16,0,0,3,5,414,439,114,98,48,29,0,0
ROUND 26,16.03.2024,Wolfsburg,Augsburg,1,3,1.52,1.19,51,49,15,14,11,9,23,13,8,6,1,5,11,17,2,3,12,19,1,0,1,3,394,392,84,84,80,45,0,0
ROUND 26,15.03.2024,FC Koln,RB Leipzig,1,5,1.68,4.27,38,62,9,23,7,16,14,12,3,6,1,1,16,15,2,1,11,12,0,0,2,2,287,599,72,139,28,60,0,0
ROUND 25,10.03.2024,Bayer Leverkusen,Wolfsburg,2,0,2.26,0.12,70,30,19,2,12,1,7,6,9,2,0,0,18,12,1,5,6,7,0,1,1,3,889,275,171,39,130,15,0,0
ROUND 25,10.03.2024,Eintracht Frankfurt,Hoffenheim,3,1,3.58,0.67,62,38,17,6,10,4,12,15,5,1,2,3,19,16,1,4,11,10,0,2,2,3,631,346,124,89,68,28,0,0
ROUND 25,10.03.2024,Bochum,Freiburg,1,2,1.19,1.44,55,45,18,9,12,4,15,13,12,5,2,3,31,14,3,5,11,11,0,0,3,7,421,282,146,82,78,28,0,0
ROUND 25,09.03.2024,Werder Bremen,Dortmund,1,2,1.31,0.98,46,54,15,13,10,7,10,8,10,4,2,2,14,11,4,4,6,8,0,1,1,2,468,603,124,115,55,33,0,0
ROUND 25,09.03.2024,Augsburg,Heidenheim,1,0,0.74,0.36,59,41,8,6,4,5,21,15,5,2,1,1,27,17,1,3,14,20,0,0,1,3,412,278,151,81,84,25,0,0
ROUND 25,09.03.2024,B. Monchengladbach,FC Koln,3,3,2.00,1.09,58,42,16,12,11,7,13,19,8,3,3,1,15,21,2,2,15,15,0,0,3,4,507,350,104,84,47,42,0,0
ROUND 25,09.03.2024,Bayern Munich,Mainz,8,1,6.59,0.95,59,41,25,13,13,10,8,10,6,7,2,1,15,11,2,4,8,7,0,0,1,1,581,401,93,95,39,49,0,0
ROUND 25,09.03.2024,RB Leipzig,Darmstadt,2,0,3.57,0.67,61,39,28,9,20,5,14,3,8,4,0,1,19,16,4,6,3,14,0,0,0,3,621,311,144,60,66,25,0,0
ROUND 25,08.03.2024,Stuttgart,Union Berlin,2,0,1.03,1.04,66,34,14,10,9,6,16,9,4,3,2,3,15,13,4,3,7,14,0,1,1,2,838,351,160,72,44,35,0,0
ROUND 24,03.03.2024,Hoffenheim,Werder Bremen,2,1,2.09,1.74,48,52,14,18,7,10,14,13,3,3,2,3,9,11,7,5,11,10,1,0,5,1,414,463,111,106,39,41,0,0
ROUND 24,03.03.2024,FC Koln,Bayer Leverkusen,0,2,0.54,1.65,28,72,6,17,6,11,9,10,1,9,2,1,12,17,4,0,10,9,1,0,2,2,235,837,40,156,16,93,0,0
ROUND 24,02.03.2024,Wolfsburg,Stuttgart,2,3,1.13,0.98,42,58,12,7,10,4,14,17,5,4,0,2,18,11,0,0,20,12,0,0,3,2,385,566,116,93,42,38,0,0
ROUND 24,02.03.2024,Bochum,RB Leipzig,1,4,1.59,1.93,44,56,15,10,11,6,12,17,2,5,4,2,22,19,1,3,13,10,1,0,3,2,312,443,147,69,58,25,0,0
ROUND 24,02.03.2024,Darmstadt,Augsburg,0,6,1.22,3.31,43,57,10,21,5,15,12,5,3,6,1,0,27,13,0,5,4,12,0,0,2,0,403,501,86,95,32,30,0,0
ROUND 24,02.03.2024,Heidenheim,Eintracht Frankfurt,1,2,1.18,2.22,53,47,16,11,13,5,11,8,7,3,1,1,30,19,5,2,6,10,0,0,1,4,389,309,128,92,57,20,0,0
ROUND 24,02.03.2024,Mainz,B. Monchengladbach,1,1,1.45,1.26,43,57,21,14,16,9,20,12,12,6,0,5,17,16,4,4,12,15,1,0,5,1,316,442,125,91,40,27,0,0
ROUND 24,02.03.2024,Union Berlin,Dortmund,0,2,1.34,1.75,42,58,13,12,8,5,9,17,8,7,4,1,10,14,5,5,11,8,0,0,2,1,349,591,94,136,53,48,0,0
ROUND 24,01.03.2024,Freiburg,Bayern Munich,2,2,1.42,1.93,43,57,17,21,11,12,7,14,3,6,3,0,10,16,7,4,11,7,0,0,1,2,386,625,89,126,39,73,0,0
ROUND 23,25.02.2024,Augsburg,Freiburg,2,1,2.10,1.07,62,38,21,5,12,4,14,15,10,2,1,3,21,13,0,7,16,11,0,0,3,1,486,255,102,71,51,20,0,0
ROUND 23,25.02.2024,Dortmund,Hoffenheim,2,3,2.73,1.16,65,35,19,7,12,2,10,9,10,3,0,1,25,15,2,5,7,10,0,0,2,3,696,302,135,77,75,29,0,0
